StockCode,Description,Category
22296,HEART IVORY TRELLIS LARGE,Gift & Novelty
22804,CANDLEHOLDER PINK HANGING HEART,Home Decor & Lighting
21054,NURSE'S BAG SOFT TOY,Bags & Storage
22694,WICKER STAR ,Home Decor & Lighting
35004c,SET OF 3 COLOURED  FLYING DUCKS,Garden & Nature
22335,HEART DECORATION PAINTED ZINC ,Home Decor & Lighting
82616C,MIDNIGHT GLAMOUR SCARF KNITTING KIT,Craft & Hobby
22636,CHILDS BREAKFAST SET CIRCUS PARADE,Gift & Novelty
84991,60 TEATIME FAIRY CAKE CASES,Kitchen & Dining
85131D,BEADED CRYSTAL HEART PINK ON STICK,Gift & Novelty
84884a,ANT WHITE WIRE HEART SPIRAL,Gift & Novelty
22193,RED DINER WALL CLOCK,Home Decor & Lighting
90042C,FRESHWATER PEARL BRACELET IVORY,Uncategorized
21259,VICTORIAN SEWING BOX SMALL ,Bags & Storage
21174,POTTERING IN THE SHED METAL SIGN,Home Decor & Lighting
22202,MILK PAN PINK POLKADOT,Kitchen & Dining
62094B,TURQ ICE CREAM BUM BAG ,Bags & Storage
21932,SCANDINAVIAN PAISLEY PICNIC BAG,Kitchen & Dining
22699,ROSES REGENCY TEACUP AND SAUCER ,Kitchen & Dining
22659,LUNCH BOX I LOVE LONDON,Kitchen & Dining
22149,FELTCRAFT 6 FLOWER FRIENDS,Garden & Nature
22572,ROCKING HORSE GREEN CHRISTMAS ,Seasonal & Occasion
22621,TRADITIONAL KNITTING NANCY,Uncategorized
22495,SET OF 2 ROUND TINS CAMEMBERT ,Bags & Storage
21328,BALLOONS  WRITING SET ,Uncategorized
82605,OLD DOC RUSSEL METAL SIGN,Home Decor & Lighting
22457,NATURAL SLATE HEART CHALKBOARD ,Gift & Novelty
22466,FAIRY TALE COTTAGE NIGHTLIGHT,Gift & Novelty
22662,LUNCH BAG DOLLY GIRL DESIGN,Kitchen & Dining
85039A,SET/4 RED MINI ROSE CANDLE IN BOWL,Kitchen & Dining
22382,LUNCH BAG SPACEBOY DESIGN ,Kitchen & Dining
22082,RIBBON REEL STRIPES DESIGN ,Stationery & Gift Wrap
21755,LOVE BUILDING BLOCK WORD,Gift & Novelty
82482,WOODEN PICTURE FRAME WHITE FINISH,Home Decor & Lighting
85152,HAND OVER THE CHOCOLATE   SIGN ,Home Decor & Lighting
85049E,SCANDINAVIAN REDS RIBBONS,Stationery & Gift Wrap
21934,SKULL SHOULDER BAG,Bags & Storage
10120,DOGGY RUBBER,Uncategorized
20828,GLITTER BUTTERFLY CLIPS,Garden & Nature
22681,FRENCH BLUE METAL DOOR SIGN 6,Home Decor & Lighting
22866,HAND WARMER SCOTTY DOG DESIGN,Kitchen & Dining
21822,GLITTER CHRISTMAS TREE WITH BELLS,Seasonal & Occasion
22178,VICTORIAN GLASS HANGING T-LIGHT,Home Decor & Lighting
35957,SMALLFOLKART BAUBLE CHRISTMAS DEC,Seasonal & Occasion
22195,LARGE HEART MEASURING SPOONS,Gift & Novelty
21488,RED WHITE SCARF  HOT WATER BOTTLE,Kitchen & Dining
22840,ROUND CAKE TIN VINTAGE RED,Kitchen & Dining
22244,"HOOK, 3 HANGER ,MAGIC GARDEN",Home Decor & Lighting
22835,HOT WATER BOTTLE I AM SO POORLY,Kitchen & Dining
22573,STAR WOODEN CHRISTMAS DECORATION,Home Decor & Lighting
22161,HEART DECORATION RUSTIC HANGING ,Home Decor & Lighting
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,Kitchen & Dining
21243,PINK  POLKADOT PLATE ,Kitchen & Dining
22158,3 HEARTS HANGING DECORATION RUSTIC,Home Decor & Lighting
22712,CARD DOLLY GIRL ,Stationery & Gift Wrap
22736,RIBBON REEL MAKING SNOWMEN ,Stationery & Gift Wrap
20983,12 PENCILS TALL TUBE RED RETROSPOT,Stationery & Gift Wrap
21262,WHITE GOOSE FEATHER CHRISTMAS TREE ,Seasonal & Occasion
22718,CARD CAT AND TREE ,Stationery & Gift Wrap
22535,MAGIC DRAWING SLATE BUNNIES ,Gift & Novelty
22488,NATURAL SLATE RECTANGLE CHALKBOARD,Uncategorized
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,Kitchen & Dining
40016,CHINESE DRAGON PAPER LANTERNS,Stationery & Gift Wrap
22429,ENAMEL MEASURING JUG CREAM,Kitchen & Dining
85040A,S/4 PINK FLOWER CANDLES IN BOWL,Kitchen & Dining
22568,FELTCRAFT CUSHION OWL,Home Decor & Lighting
21211,SET OF 72 SKULL PAPER  DOILIES,Kitchen & Dining
22583,PACK OF 6 HANDBAG GIFT BOXES,Bags & Storage
22732,3D VINTAGE CHRISTMAS STICKERS ,Seasonal & Occasion
22452,MEASURING TAPE BABUSHKA PINK,Uncategorized
22150,3 STRIPEY MICE FELTCRAFT,Uncategorized
22908,PACK OF 20 NAPKINS RED APPLES,Kitchen & Dining
21484,CHICK GREY HOT WATER BOTTLE,Kitchen & Dining
22692,DOORMAT WELCOME TO OUR HOME,Home Decor & Lighting
84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,Kitchen & Dining
71053,WHITE METAL LANTERN,Uncategorized
22075,6 RIBBONS ELEGANT CHRISTMAS ,Stationery & Gift Wrap
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,Kitchen & Dining
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,Bags & Storage
22620,4 TRADITIONAL SPINNING TOPS,Uncategorized
20754,RETROSPOT RED WASHING UP GLOVES,Kitchen & Dining
22374,AIRLINE BAG VINTAGE JET SET RED,Bags & Storage
21813,GARLAND WITH STARS AND BELLS,Home Decor & Lighting
22312,OFFICE MUG WARMER POLKADOT,Kitchen & Dining
22198,LARGE POPCORN HOLDER ,Home Decor & Lighting
84692,BOX OF 24 COCKTAIL PARASOLS,Bags & Storage
22632,HAND WARMER RED RETROSPOT,Kitchen & Dining
22947,WOODEN ADVENT CALENDAR RED,Uncategorized
21063,PARTY INVITES JAZZ HEARTS,Seasonal & Occasion
22788,BROCANTE COAT RACK,Uncategorized
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,Home Decor & Lighting
22141,CHRISTMAS CRAFT TREE TOP ANGEL,Seasonal & Occasion
22118,JOY WOODEN BLOCK LETTERS,Gift & Novelty
22029,SPACEBOY BIRTHDAY CARD,Stationery & Gift Wrap
85034A,3 GARDENIA MORRIS BOXED CANDLES,Home Decor & Lighting
22434,BALLOON PUMP WITH 10 BALLOONS,Uncategorized
84030E,ENGLISH ROSE HOT WATER BOTTLE,Kitchen & Dining
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Home Decor & Lighting
21530,DAIRY MAID TOASTRACK,Uncategorized
10123C,HEARTS WRAPPING TAPE ,Gift & Novelty
21218,RED SPOTTY BISCUIT TIN,Bags & Storage
22428,ENAMEL FIRE BUCKET CREAM,Uncategorized
21680,WOODLAND  STICKERS,Gift & Novelty
22192,BLUE DINER WALL CLOCK,Home Decor & Lighting
22065,CHRISTMAS PUDDING TRINKET POT ,Bags & Storage
79066K,RETRO MOD TRAY,Uncategorized
20780,BLACK EAR MUFF HEADPHONES,Uncategorized
47594B,SCOTTIES DESIGN WASHBAG,Uncategorized
37423,WHITE WITH BLACK CATS PLATE,Kitchen & Dining
22594,CHRISTMAS GINGHAM TREE,Seasonal & Occasion
21651,HANGING GLASS ETCHED TEALIGHT,Home Decor & Lighting
21164,HOME SWEET HOME METAL SIGN ,Home Decor & Lighting
20760,GARDEN PATH POCKET BOOK,Garden & Nature
22478,BIRDHOUSE GARDEN MARKER ,Garden & Nature
22423,REGENCY CAKESTAND 3 TIER,Uncategorized
22523,CHILDS GARDEN FORK PINK,Garden & Nature
22780,LIGHT GARLAND BUTTERFILES PINK,Home Decor & Lighting
72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,Home Decor & Lighting
22555,PLASTERS IN TIN STRONGMAN,Bags & Storage
85135C,RED DRAGONFLY HELICOPTER,Uncategorized
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,Kitchen & Dining
22604,SET OF 4 NAPKIN CHARMS CUTLERY,Kitchen & Dining
85034B,3 WHITE CHOC MORRIS BOXED CANDLES,Home Decor & Lighting
82483,WOOD 2 DRAWER CABINET WHITE FINISH,Home Decor & Lighting
22028,PENNY FARTHING BIRTHDAY CARD,Stationery & Gift Wrap
21967,PACK OF 12 SKULL TISSUES,Kitchen & Dining
22669,RED BABY BUNTING ,Home Decor & Lighting
21704,BAG 250g SWIRLY MARBLES,Bags & Storage
21986,PACK OF 12 PINK POLKADOT TISSUES,Kitchen & Dining
21561,DINOSAUR LUNCH BOX WITH CUTLERY,Kitchen & Dining
21014,SWISS CHALET TREE DECORATION ,Home Decor & Lighting
22367,CHILDRENS APRON SPACEBOY DESIGN,Kitchen & Dining
21411,GINGHAM HEART  DOORSTOP RED,Home Decor & Lighting
79000,MOROCCAN TEA GLASS,Kitchen & Dining
84596F,SMALL MARSHMALLOWS PINK BOWL,Kitchen & Dining
84247E,PACK/12 XMAS FUN CARD,Stationery & Gift Wrap
22212,FOUR HOOK  WHITE LOVEBIRDS,Home Decor & Lighting
21868,POTTING SHED TEA MUG,Kitchen & Dining
22464,HANGING METAL HEART LANTERN,Home Decor & Lighting
20719,WOODLAND CHARLOTTE BAG,Bags & Storage
22607,WOODEN ROUNDERS GARDEN SET ,Garden & Nature
21017,RED BIRD HOUSE TREE DECORATION,Home Decor & Lighting
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,Kitchen & Dining
22297,HEART IVORY TRELLIS SMALL,Gift & Novelty
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,Home Decor & Lighting
15056N,EDWARDIAN PARASOL NATURAL,Gift & Novelty
22511,RETROSPOT BABUSHKA DOORSTOP,Home Decor & Lighting
22600,CHRISTMAS RETROSPOT STAR WOOD,Home Decor & Lighting
84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,Kitchen & Dining
21136,PAINTED METAL PEARS ASSORTED,Uncategorized
22121,NOEL WOODEN BLOCK LETTERS ,Gift & Novelty
21873,IF YOU CAN'T STAND THE HEAT MUG,Kitchen & Dining
21509,COWBOYS AND INDIANS BIRTHDAY CARD ,Stationery & Gift Wrap
21495,SKULLS AND CROSSBONES WRAP,Stationery & Gift Wrap
22301,COFFEE MUG CAT + BIRD DESIGN,Kitchen & Dining
22781,GUMBALL MAGAZINE RACK,Uncategorized
84535B,FAIRY CAKES NOTEBOOK A6 SIZE,Stationery & Gift Wrap
22810,SET OF 6 T-LIGHTS SNOWMEN,Home Decor & Lighting
22468,BABUSHKA LIGHTS STRING OF 10,Home Decor & Lighting
22818,CARD CHRISTMAS VILLAGE,Stationery & Gift Wrap
90201B,BLACK ENAMEL FLOWER RING,Garden & Nature
90129A,PINK GLASS TASSLE BAG CHARM ,Bags & Storage
22261,FELT EGG COSY WHITE RABBIT ,Gift & Novelty
22300,COFFEE MUG DOG + BALL DESIGN,Kitchen & Dining
22903,CALENDAR FAMILY FAVOURITES,Uncategorized
48185,DOORMAT FAIRY CAKE,Kitchen & Dining
85106,CUT GLASS HEXAGON T-LIGHT HOLDER,Home Decor & Lighting
20867,PINK ROSE FABRIC MIRROR,Home Decor & Lighting
21244,BLUE POLKADOT PLATE ,Kitchen & Dining
22441,GROW YOUR OWN BASIL IN ENAMEL MUG,Kitchen & Dining
22917,HERB MARKER ROSEMARY,Uncategorized
22505,MEMO BOARD COTTAGE DESIGN,Uncategorized
90063B,BLACK VINT ART DEC CRYSTAL NECKLACE,Uncategorized
22735,RIBBON REEL SOCKS AND MITTENS,Stationery & Gift Wrap
21191,LARGE WHITE HONEYCOMB PAPER BELL  ,Stationery & Gift Wrap
22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,Seasonal & Occasion
22646,CERAMIC STRAWBERRY CAKE MONEY BANK,Kitchen & Dining
22539,MINI JIGSAW DOLLY GIRL,Gift & Novelty
20718,RED RETROSPOT SHOPPER BAG,Bags & Storage
21524,DOORMAT SPOTTY HOME SWEET HOME,Home Decor & Lighting
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,Stationery & Gift Wrap
22123,PING MICROWAVE APRON,Kitchen & Dining
22696,WICKER WREATH LARGE,Bags & Storage
72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,Home Decor & Lighting
22801,ANTIQUE GLASS PEDESTAL BOWL,Kitchen & Dining
22046,TEA PARTY  WRAPPING PAPER ,Kitchen & Dining
22560,TRADITIONAL MODELLING CLAY,Uncategorized
22024,RAINY LADIES BIRTHDAY CARD,Stationery & Gift Wrap
21843,RED RETROSPOT CAKE STAND,Kitchen & Dining
47563A,RETRO LONGBOARD IRONING BOARD COVER,Uncategorized
22890,NOVELTY BISCUITS CAKE STAND 3 TIER,Kitchen & Dining
21175,GIN + TONIC DIET METAL SIGN,Home Decor & Lighting
22983,CARD BILLBOARD FONT,Stationery & Gift Wrap
22663,JUMBO BAG DOLLY GIRL DESIGN,Bags & Storage
22508,DOORSTOP RETROSPOT HEART,Home Decor & Lighting
17091J,VANILLA INCENSE IN TIN,Bags & Storage
22946,WOODEN ADVENT CALENDAR CREAM,Uncategorized
21169,YOU'RE CONFUSING ME METAL SIGN ,Home Decor & Lighting
21187,WHITE BELL HONEYCOMB PAPER GARLAND ,Home Decor & Lighting
20759,CHRYSANTHEMUM POCKET BOOK ,Uncategorized
22635,CHILDS BREAKFAST SET DOLLY GIRL ,Gift & Novelty
84598,BOYS ALPHABET IRON ON PATCHES,Stationery & Gift Wrap
20675,BLUE POLKADOT BOWL,Kitchen & Dining
22951,60 CAKE CASES DOLLY GIRL DESIGN,Kitchen & Dining
84509G,SET OF 4 FAIRY CAKE PLACEMATS ,Kitchen & Dining
20679,EDWARDIAN PARASOL RED,Gift & Novelty
22413,METAL SIGN TAKE IT OR LEAVE IT ,Home Decor & Lighting
22467,GUMBALL COAT RACK,Uncategorized
22580,ADVENT CALENDAR GINGHAM SACK,Uncategorized
