InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
531350,21114,LAVENDER SCENTED FABRIC HEART,20,2010-11-07 13:31:00,1.25,12748.0,United Kingdom
537381,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-06 13:13:00,3.75,14667.0,United Kingdom
538379,21378,SMALL TALL CAMPHOR WOOD TOADSTOOL,6,2010-12-12 11:26:00,1.65,17126.0,United Kingdom
537392,21481,FAWN BLUE HOT WATER BOTTLE,4,2010-12-06 13:58:00,2.95,17068.0,United Kingdom
530001,22518,CHILDS GARDEN BRUSH BLUE,1,2010-11-01 09:13:00,4.21,,United Kingdom
538349,22637,PIGGY BANK RETROSPOT ,1,2010-12-10 14:59:00,5.06,,United Kingdom
532435,21716,BOYS VINTAGE TIN SEASIDE BUCKET,8,2010-11-12 10:51:00,2.55,17076.0,United Kingdom
526108,20972,PINK CREAM FELT CRAFT TRINKET BOX ,6,2010-10-08 12:48:00,1.25,14904.0,United Kingdom
530288,22738,RIBBON REEL SNOWY VILLAGE,2,2010-11-02 12:16:00,1.65,14593.0,United Kingdom
525495,22077,6 RIBBONS RUSTIC CHARM,12,2010-10-05 16:34:00,1.65,15249.0,United Kingdom
532289,22727,ALARM CLOCK BAKELIKE RED ,8,2010-11-11 13:26:00,3.75,14004.0,United Kingdom
534030,20685,DOORMAT RED RETROSPOT,2,2010-11-19 15:13:00,7.95,12721.0,France
531333,22752,SET 7 BABUSHKA NESTING BOXES,3,2010-11-07 12:31:00,8.5,17774.0,United Kingdom
526247,20725,LUNCH BAG RED RETROSPOT,10,2010-10-11 10:04:00,1.65,14389.0,United Kingdom
529821,82583,HOT BATHS METAL SIGN,1,2010-10-31 11:32:00,2.1,13677.0,United Kingdom
537638,22942,CHRISTMAS LIGHTS 10 SANTAS ,2,2010-12-07 15:28:00,8.47,,United Kingdom
539272,22371,AIRLINE BAG VINTAGE TOKYO 78,4,2010-12-16 15:29:00,4.25,15759.0,United Kingdom
532252,22750,FELTCRAFT PRINCESS LOLA DOLL,8,2010-11-11 12:45:00,3.75,17416.0,United Kingdom
529841,21114,LAVENDER SCENTED FABRIC HEART,30,2010-10-31 12:41:00,1.25,14918.0,United Kingdom
537666,85015,SET OF 12  VINTAGE POSTCARD SET,1,2010-12-07 18:36:00,2.51,,United Kingdom
536031,22686,FRENCH BLUE METAL DOOR SIGN No,1,2010-11-29 16:45:00,2.51,,United Kingdom
533920,20727,LUNCH BAG  BLACK SKULL.,1,2010-11-19 12:00:00,1.65,17360.0,United Kingdom
537434,21098,CHRISTMAS TOILET ROLL,17,2010-12-06 16:57:00,2.51,,United Kingdom
535266,21232,STRAWBERRY CERAMIC TRINKET BOX,4,2010-11-25 13:32:00,1.25,14159.0,United Kingdom
528098,85039B,S/4 IVORY MINI ROSE CANDLE IN BOWL,24,2010-10-20 13:30:00,0.42,13740.0,United Kingdom
531240,22355,CHARLOTTE BAG SUKI DESIGN,10,2010-11-07 10:43:00,0.85,16746.0,United Kingdom
528060,22595,CHRISTMAS GINGHAM HEART,12,2010-10-20 12:13:00,0.85,16776.0,United Kingdom
530763,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,2010-11-04 11:59:00,8.5,15379.0,United Kingdom
539746,22456,NATURAL SLATE CHALKBOARD LARGE ,1,2010-12-21 15:22:00,10.17,,United Kingdom
537434,84946,ANTIQUE SILVER TEA GLASS ETCHED,29,2010-12-06 16:57:00,2.51,,United Kingdom
537059,22867,HAND WARMER BIRD DESIGN,4,2010-12-05 11:54:00,2.1,14813.0,United Kingdom
531138,22112,CHOCOLATE HOT WATER BOTTLE,24,2010-11-05 14:09:00,4.25,13089.0,United Kingdom
539920,22798,ANTIQUE GLASS DRESSING TABLE POT,4,2010-12-23 11:06:00,2.95,14085.0,United Kingdom
538012,21361,LOVE LARGE WOOD LETTERS ,1,2010-12-09 12:32:00,12.75,14527.0,United Kingdom
534459,90118,PINK DAISY BAG CHARM,2,2010-11-23 09:12:00,2.51,,United Kingdom
537900,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,4,2010-12-09 10:45:00,2.95,15983.0,United Kingdom
533986,22766,PHOTO FRAME CORNICE,1,2010-11-19 13:52:00,2.95,18036.0,United Kingdom
533127,35095B,RED VICTORIAN FABRIC OVAL BOX,24,2010-11-16 12:46:00,0.42,13611.0,United Kingdom
529996,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,1,2010-11-01 08:57:00,4.25,,United Kingdom
527970,21360,JOY LARGE WOOD LETTERS,1,2010-10-20 10:03:00,9.95,13981.0,United Kingdom
536364,21098,CHRISTMAS TOILET ROLL,12,2010-11-30 19:35:00,1.25,14441.0,United Kingdom
535993,21390,FILIGRIS HEART WITH BUTTERFLY,24,2010-11-29 13:42:00,1.25,12870.0,United Kingdom
526913,22113,GREY HEART HOT WATER BOTTLE,8,2010-10-13 16:09:00,3.75,17409.0,United Kingdom
525892,79192A,RETRO PLASTIC 70'S TRAY,4,2010-10-07 15:09:00,1.25,16411.0,United Kingdom
527366,21086,SET/6 RED SPOTTY PAPER CUPS,2,2010-10-17 11:24:00,0.65,15571.0,United Kingdom
528367,21481,FAWN BLUE HOT WATER BOTTLE,4,2010-10-21 16:29:00,2.95,13077.0,United Kingdom
537196,21213,PACK OF 72 SKULL CAKE CASES,1,2010-12-05 13:55:00,0.55,15426.0,United Kingdom
528588,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2010-10-22 14:04:00,3.75,14080.0,United Kingdom
538205,22561,WOODEN SCHOOL COLOURING SET,3,2010-12-10 11:24:00,1.65,12748.0,United Kingdom
534389,21158,MOODY GIRL DOOR HANGER ,1,2010-11-22 13:02:00,3.36,,United Kingdom
536477,22633,HAND WARMER UNION JACK,12,2010-12-01 12:27:00,2.1,16210.0,United Kingdom
526215,22314,OFFICE MUG WARMER CHOC+BLUE,2,2010-10-10 14:18:00,2.95,17085.0,United Kingdom
533644,35961,FOLKART ZINC HEART CHRISTMAS DEC,8,2010-11-18 13:00:00,0.85,15024.0,United Kingdom
533554,22563,HAPPY STENCIL CRAFT,1,2010-11-17 17:16:00,1.25,13605.0,United Kingdom
536446,10133,COLOURING PENCILS BROWN TUBE,5,2010-12-01 12:15:00,0.85,15983.0,United Kingdom
535407,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",2,2010-11-26 11:20:00,11.02,,United Kingdom
536849,22728,ALARM CLOCK BAKELIKE PINK,39,2010-12-03 09:45:00,3.75,17396.0,United Kingdom
530843,22794,SWEETHEART WIRE MAGAZINE RACK,4,2010-11-04 14:21:00,7.95,14895.0,United Kingdom
537262,84985A,SET OF 72 GREEN PAPER DOILIES,4,2010-12-06 11:26:00,1.45,15039.0,United Kingdom
525055,22120,WELCOME  WOODEN BLOCK LETTERS,1,2010-10-03 13:56:00,9.95,16407.0,United Kingdom
538201,22733,3D TRADITIONAL CHRISTMAS STICKERS,1,2010-12-10 11:12:00,1.25,15723.0,United Kingdom
539338,21210,SET OF 72 RETROSPOT PAPER  DOILIES,288,2010-12-17 10:54:00,1.45,17404.0,Sweden
527400,22796,PHOTO FRAME 3 CLASSIC HANGING,12,2010-10-17 13:59:00,8.5,14175.0,United Kingdom
538255,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,2010-12-10 12:33:00,1.95,14911.0,EIRE
537034,84375,SET OF 20 KIDS COOKIE CUTTERS,12,2010-12-03 17:20:00,2.1,13081.0,United Kingdom
531271,22371,AIRLINE BAG VINTAGE TOKYO 78,1,2010-11-07 11:52:00,4.25,16401.0,United Kingdom
537395,22730,ALARM CLOCK BAKELIKE IVORY,1,2010-12-06 14:05:00,3.75,15356.0,United Kingdom
532764,22753,SMALL YELLOW BABUSHKA NOTEBOOK ,1,2010-11-14 14:07:00,0.85,14684.0,United Kingdom
527380,17164B,ASS COL SMALL SAND GECKO P'WEIGHT,32,2010-10-17 12:52:00,0.42,14953.0,United Kingdom
531791,21348,PINK SPOTS CHOCOLATE NESTING BOXES ,12,2010-11-09 15:11:00,2.95,14841.0,United Kingdom
534658,22383,LUNCH BAG SUKI  DESIGN ,1,2010-11-23 13:36:00,1.65,18118.0,United Kingdom
528574,22679,"FRENCH BLUE METAL DOOR SIGN, 4",10,2010-10-22 13:10:00,1.25,13106.0,United Kingdom
535090,51014C,"FEATHER PEN,COAL BLACK",12,2010-11-25 10:11:00,0.85,13958.0,United Kingdom
524955,21115,ROSE CARAVAN DOORSTOP,2,2010-10-01 13:21:00,6.75,16606.0,United Kingdom
539434,84832,ZINC WILLIE WINKIE  CANDLE STICK,2,2010-12-17 14:41:00,1.66,,United Kingdom
539318,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-16 19:09:00,0.55,12348.0,Finland
531204,22379,RECYCLING BAG RETROSPOT ,48,2010-11-05 15:25:00,2.1,17389.0,United Kingdom
536039,22912,YELLOW COAT RACK PARIS FASHION,2,2010-11-29 17:19:00,4.95,17223.0,United Kingdom
528952,16236,KITTY PENCIL ERASERS,3,2010-10-25 16:57:00,0.43,,United Kingdom
536255,22798,ANTIQUE GLASS DRESSING TABLE POT,8,2010-11-30 15:02:00,2.95,13267.0,United Kingdom
527292,85150,LADIES & GENTLEMEN METAL SIGN,1,2010-10-15 14:09:00,5.06,,United Kingdom
537140,22071,SMALL WHITE RETROSPOT MUG IN BOX ,1,2010-12-05 12:53:00,3.75,12748.0,United Kingdom
531863,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,2010-11-10 10:50:00,1.65,13671.0,United Kingdom
537372,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,2010-12-06 12:52:00,7.95,16919.0,United Kingdom
536251,22157,ANGEL DECORATION WITH LACE PADDED,48,2010-11-30 14:49:00,0.85,15856.0,United Kingdom
536754,22972,CHILDREN'S SPACEBOY MUG,2,2010-12-02 14:09:00,1.65,14449.0,United Kingdom
529504,22595,CHRISTMAS GINGHAM HEART,1,2010-10-28 14:19:00,1.66,,United Kingdom
528367,22114,HOT WATER BOTTLE TEA AND SYMPATHY,6,2010-10-21 16:29:00,3.95,13077.0,United Kingdom
533366,47570B,TEA TIME TABLE CLOTH,2,2010-11-17 10:26:00,10.65,13004.0,United Kingdom
528613,21326,AGED GLASS SILVER T-LIGHT HOLDER,3,2010-10-22 15:57:00,1.66,,United Kingdom
537081,22306,SILVER MUG BONE CHINA TREE OF LIFE,36,2010-12-05 12:00:00,1.65,15332.0,Lithuania
536865,21257,VICTORIAN SEWING BOX MEDIUM,2,2010-12-03 11:28:00,16.13,,United Kingdom
524871,84987,SET OF 36 TEATIME PAPER DOILIES,12,2010-10-01 10:04:00,1.45,12935.0,United Kingdom
536544,22309,TEA COSY RED  STRIPE,1,2010-12-01 14:32:00,5.06,,United Kingdom
532430,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2010-11-12 10:20:00,1.25,12352.0,Norway
535839,22469,HEART OF WICKER SMALL,40,2010-11-29 10:11:00,1.45,13408.0,United Kingdom
525221,22651,GENTLEMAN SHIRT REPAIR KIT ,1,2010-10-04 12:51:00,1.66,,United Kingdom
527382,90018C,SILVER BLACK ORBIT DROP EARRINGS,1,2010-10-17 12:59:00,4.25,15774.0,United Kingdom
533136,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,2010-11-16 12:52:00,4.25,17203.0,United Kingdom
532085,37370,RETRO COFFEE MUGS ASSORTED,72,2010-11-10 15:20:00,1.06,14031.0,United Kingdom
530511,79321,CHILLI LIGHTS,24,2010-11-03 12:11:00,4.25,16353.0,United Kingdom
526151,22166,"WALL MIRROR , RECT DIAMANTE, PINK/",1,2010-10-08 15:19:00,7.62,,United Kingdom
530562,21904,HOUSE WRECKING METAL SIGN ,1,2010-11-03 13:47:00,2.1,16012.0,United Kingdom
537638,72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,3,2010-12-07 15:28:00,8.47,,United Kingdom
526642,84279P,CHERRY BLOSSOM  DECORATIVE FLASK,12,2010-10-12 13:26:00,3.39,12647.0,Germany
526764,21245,GREEN POLKADOT PLATE ,5,2010-10-13 11:10:00,1.69,17179.0,United Kingdom
539458,22812,PACK 3 BOXES CHRISTMAS PANNETONE,6,2010-12-17 17:30:00,1.95,,United Kingdom
535825,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,24,2010-11-28 16:21:00,2.75,13946.0,United Kingdom
526389,22524,CHILDRENS GARDEN GLOVES BLUE,10,2010-10-11 12:53:00,1.25,12797.0,Portugal
536876,21135,VICTORIAN  METAL POSTCARD SPRING,8,2010-12-03 11:36:00,1.69,,United Kingdom
527536,22112,CHOCOLATE HOT WATER BOTTLE,1,2010-10-18 13:22:00,4.95,14667.0,United Kingdom
527754,22186,RED STAR CARD HOLDER,2,2010-10-18 17:05:00,2.95,15710.0,United Kingdom
537781,20963,APPLE BATH SPONGE,1,2010-12-08 12:46:00,1.25,17341.0,United Kingdom
535576,22625,RED KITCHEN SCALES,2,2010-11-26 15:37:00,8.5,12865.0,Austria
537237,84992,72 SWEETHEART FAIRY CAKE CASES,1,2010-12-06 09:58:00,1.28,,United Kingdom
528641,85132A,CHARLIE + LOLA BISCUITS TINS,12,2010-10-24 11:49:00,1.95,12494.0,France
531244,22377,BOTTLE BAG RETROSPOT ,5,2010-11-07 10:48:00,2.1,16640.0,United Kingdom
536805,22491,PACK OF 12 COLOURED PENCILS,24,2010-12-02 16:38:00,0.85,14775.0,United Kingdom
536637,22920,HERB MARKER BASIL,1,2010-12-02 11:35:00,0.65,18041.0,United Kingdom
534389,22865,HAND WARMER OWL DESIGN,3,2010-11-22 13:02:00,4.21,,United Kingdom
529833,84536B,FAIRY CAKES NOTEBOOK A7 SIZE,3,2010-10-31 12:32:00,0.42,16791.0,United Kingdom
537077,21976,PACK OF 60 MUSHROOM CAKE CASES,4,2010-12-05 11:59:00,0.55,17062.0,United Kingdom
539453,22386,JUMBO BAG PINK POLKADOT,1,2010-12-17 17:08:00,4.21,,United Kingdom
538488,21032,SPACE CADET WHITE,6,2010-12-12 12:41:00,1.25,13715.0,United Kingdom
529586,35970,ZINC FOLKART SLEIGH BELLS,1,2010-10-28 19:41:00,1.69,16780.0,United Kingdom
539050,21901,"KEY FOB , BACK DOOR ",1,2010-12-15 16:21:00,0.65,12577.0,France
532139,72815,3 WICK CHRISTMAS BRIAR CANDLE ,3,2010-11-11 11:18:00,4.21,,United Kingdom
533977,21668,RED STRIPE CERAMIC DRAWER KNOB,3,2010-11-19 13:31:00,1.25,15311.0,United Kingdom
538071,22816,CARD MOTORBIKE SANTA,18,2010-12-09 14:09:00,0.85,,United Kingdom
537638,22091,EMPIRE TISSUE BOX,1,2010-12-07 15:28:00,2.51,,United Kingdom
533362,20974,12 PENCILS SMALL TUBE SKULL,168,2010-11-17 10:10:00,0.65,16422.0,United Kingdom
534709,22133,PINK LOVE HEART SHAPE CUP,2,2010-11-23 16:53:00,1.66,,United Kingdom
536562,21231,SWEETHEART CERAMIC TRINKET BOX,12,2010-12-01 15:08:00,1.25,13468.0,United Kingdom
534887,22296,HEART IVORY TRELLIS LARGE,3,2010-11-24 14:55:00,1.65,16903.0,United Kingdom
527468,22804,CANDLEHOLDER PINK HANGING HEART,3,2010-10-18 11:09:00,2.95,17377.0,United Kingdom
530796,47591D,PINK FAIRY CAKE CHILDRENS APRON,1,2010-11-04 12:27:00,1.95,16391.0,United Kingdom
530094,22796,PHOTO FRAME 3 CLASSIC HANGING,2,2010-11-01 13:56:00,9.95,18127.0,United Kingdom
526217,21054,NURSE'S BAG SOFT TOY,2,2010-10-10 14:30:00,8.95,14390.0,United Kingdom
532738,22694,WICKER STAR ,6,2010-11-14 13:03:00,2.1,13668.0,United Kingdom
525236,35004c,SET OF 3 COLOURED  FLYING DUCKS,1,2010-10-04 14:31:00,12.72,,United Kingdom
538071,37370,RETRO COFFEE MUGS ASSORTED,1,2010-12-09 14:09:00,16.13,,United Kingdom
537335,22745,POPPY'S PLAYHOUSE BEDROOM ,1,2010-12-06 12:15:00,2.1,15048.0,United Kingdom
530299,22335,HEART DECORATION PAINTED ZINC ,11,2010-11-02 12:48:00,0.65,14449.0,United Kingdom
538071,82616C,MIDNIGHT GLAMOUR SCARF KNITTING KIT,2,2010-12-09 14:09:00,2.51,,United Kingdom
530014,22636,CHILDS BREAKFAST SET CIRCUS PARADE,1,2010-11-01 10:37:00,8.5,17238.0,United Kingdom
525011,84991,60 TEATIME FAIRY CAKE CASES,48,2010-10-03 10:52:00,0.55,14156.0,EIRE
